Id,Entity,Code,Year,count
106,France,FRA,1980,250
107,France,FRA,1981,274
108,France,FRA,1982,274
109,France,FRA,1983,279
110,France,FRA,1984,280
111,France,FRA,1985,360
112,France,FRA,1986,355
113,France,FRA,1987,420
114,France,FRA,1988,410
115,France,FRA,1989,410
116,France,FRA,1990,505
117,France,FRA,1991,540
118,France,FRA,1992,540
119,France,FRA,1993,525
120,France,FRA,1994,510
121,France,FRA,1995,500
122,France,FRA,1996,450
123,France,FRA,1997,450
124,France,FRA,1998,450
125,France,FRA,1999,450
126,France,FRA,2000,470
127,France,FRA,2001,350
128,France,FRA,2002,350
129,France,FRA,2003,350
130,France,FRA,2004,350
131,France,FRA,2005,350
132,France,FRA,2006,350
133,France,FRA,2007,350
134,France,FRA,2008,300
135,France,FRA,2009,300
136,France,FRA,2010,300
137,France,FRA,2011,300
138,France,FRA,2012,300
139,France,FRA,2013,300
140,France,FRA,2014,300
141,India,IND,1945,0
142,India,IND,1946,0
143,India,IND,1947,0
144,India,IND,1948,0
145,India,IND,1949,0
146,India,IND,1950,0
147,India,IND,1951,0
148,India,IND,1952,0
149,India,IND,1953,0
150,India,IND,1954,0
151,India,IND,1955,0
152,India,IND,1956,0
153,India,IND,1957,0
154,India,IND,1958,0
155,India,IND,1959,0
156,India,IND,1960,0
157,India,IND,1961,0
158,India,IND,1962,0
159,India,IND,1963,0
160,India,IND,1964,0
161,India,IND,1965,0
162,India,IND,1966,0
163,India,IND,1967,0
164,India,IND,1968,0
165,India,IND,1969,0
166,India,IND,1970,0
167,India,IND,1971,0
168,India,IND,1972,0
169,India,IND,1973,0
170,India,IND,1974,0
171,India,IND,1975,0
172,India,IND,1976,0
173,India,IND,1977,0
174,India,IND,1978,0
175,India,IND,1979,0
176,India,IND,1980,0
177,India,IND,1981,0
178,India,IND,1982,0
179,India,IND,1983,0
180,India,IND,1984,0
181,India,IND,1985,0
182,India,IND,1986,0
183,India,IND,1987,0
184,India,IND,1988,0
185,India,IND,1989,0
186,India,IND,1990,0
187,India,IND,1991,0
188,India,IND,1992,0
189,India,IND,1993,0
190,India,IND,1994,0
191,India,IND,1995,0
192,India,IND,1996,0
193,India,IND,1997,0
194,India,IND,1998,3
195,India,IND,1999,8
196,India,IND,2000,13
197,India,IND,2001,18
198,India,IND,2002,23
199,India,IND,2003,28
200,India,IND,2004,33
201,India,IND,2005,38
202,India,IND,2006,43
203,India,IND,2007,50
204,India,IND,2008,60
205,India,IND,2009,70
206,India,IND,2010,80
207,India,IND,2011,90
208,India,IND,2012,100
209,India,IND,2013,110
210,India,IND,2014,110
211,Israel,ISR,1945,0
212,Israel,ISR,1946,0
213,Israel,ISR,1947,0
214,Israel,ISR,1948,0
215,Israel,ISR,1949,0
216,Israel,ISR,1950,0
217,Israel,ISR,1951,0
218,Israel,ISR,1952,0
219,Israel,ISR,1953,0
220,Israel,ISR,1954,0
221,Israel,ISR,1955,0
222,Israel,ISR,1956,0
223,Israel,ISR,1957,0
224,Israel,ISR,1958,0
225,Israel,ISR,1959,0
226,Israel,ISR,1960,0
227,Israel,ISR,1961,0
228,Israel,ISR,1962,0
229,Israel,ISR,1963,0
230,Israel,ISR,1964,0
231,Israel,ISR,1965,0
232,Israel,ISR,1966,0
233,Israel,ISR,1967,2
234,Israel,ISR,1968,4
235,Israel,ISR,1969,6
236,Israel,ISR,1970,8
237,Israel,ISR,1971,11
238,Israel,ISR,1972,13
239,Israel,ISR,1973,15
240,Israel,ISR,1974,17
241,Israel,ISR,1975,20
242,Israel,ISR,1976,22
243,Israel,ISR,1977,24
244,Israel,ISR,1978,26
245,Israel,ISR,1979,29
246,Israel,ISR,1980,31
247,Israel,ISR,1981,33
248,Israel,ISR,1982,35
249,Israel,ISR,1983,38
250,Israel,ISR,1984,40
251,Israel,ISR,1985,42
252,Israel,ISR,1986,44
253,Israel,ISR,1987,47
254,Israel,ISR,1988,49
255,Israel,ISR,1989,51
256,Israel,ISR,1990,53
257,Israel,ISR,1991,56
258,Israel,ISR,1992,58
259,Israel,ISR,1993,60
260,Israel,ISR,1994,62
261,Israel,ISR,1995,63
262,Israel,ISR,1996,64
263,Israel,ISR,1997,66
264,Israel,ISR,1998,68
265,Israel,ISR,1999,70
266,Israel,ISR,2000,72
267,Israel,ISR,2001,74
268,Israel,ISR,2002,76
269,Israel,ISR,2003,78
270,Israel,ISR,2004,80
271,Israel,ISR,2005,80
272,Israel,ISR,2006,80
273,Israel,ISR,2007,80
274,Israel,ISR,2008,80
275,Israel,ISR,2009,80
276,Israel,ISR,2010,80
277,Israel,ISR,2011,80
278,Israel,ISR,2012,80
279,Israel,ISR,2013,80
280,Israel,ISR,2014,80
281,Pakistan,PAK,1945,0
282,Pakistan,PAK,1946,0
283,Pakistan,PAK,1947,0
284,Pakistan,PAK,1948,0
285,Pakistan,PAK,1949,0
286,Pakistan,PAK,1950,0
287,Pakistan,PAK,1951,0
288,Pakistan,PAK,1952,0
289,Pakistan,PAK,1953,0
290,Pakistan,PAK,1954,0
291,Pakistan,PAK,1955,0
292,Pakistan,PAK,1956,0
293,Pakistan,PAK,1957,0
294,Pakistan,PAK,1958,0
295,Pakistan,PAK,1959,0
296,Pakistan,PAK,1960,0
297,Pakistan,PAK,1961,0
298,Pakistan,PAK,1962,0
299,Pakistan,PAK,1963,0
300,Pakistan,PAK,1964,0
301,Pakistan,PAK,1965,0
302,Pakistan,PAK,1966,0
303,Pakistan,PAK,1967,0
304,Pakistan,PAK,1968,0
305,Pakistan,PAK,1969,0
306,Pakistan,PAK,1970,0
307,Pakistan,PAK,1971,0
308,Pakistan,PAK,1972,0
309,Pakistan,PAK,1973,0
310,Pakistan,PAK,1974,0
311,Pakistan,PAK,1975,0
312,Pakistan,PAK,1976,0
313,Pakistan,PAK,1977,0
314,Pakistan,PAK,1978,0
315,Pakistan,PAK,1979,0
316,Pakistan,PAK,1980,0
317,Pakistan,PAK,1981,0
318,Pakistan,PAK,1982,0
319,Pakistan,PAK,1983,0
320,Pakistan,PAK,1984,0
321,Pakistan,PAK,1985,0
322,Pakistan,PAK,1986,0
323,Pakistan,PAK,1987,0
324,Pakistan,PAK,1988,0
325,Pakistan,PAK,1989,0
326,Pakistan,PAK,1990,0
327,Pakistan,PAK,1991,0
328,Pakistan,PAK,1992,0
329,Pakistan,PAK,1993,0
330,Pakistan,PAK,1994,0
331,Pakistan,PAK,1995,0
332,Pakistan,PAK,1996,0
333,Pakistan,PAK,1997,0
334,Pakistan,PAK,1998,2
335,Pakistan,PAK,1999,8
336,Pakistan,PAK,2000,14
337,Pakistan,PAK,2001,20
338,Pakistan,PAK,2002,26
339,Pakistan,PAK,2003,32
340,Pakistan,PAK,2004,38
341,Pakistan,PAK,2005,44
342,Pakistan,PAK,2006,50
343,Pakistan,PAK,2007,60
344,Pakistan,PAK,2008,70
345,Pakistan,PAK,2009,80
346,Pakistan,PAK,2010,90
347,Pakistan,PAK,2011,100
348,Pakistan,PAK,2012,110
349,Pakistan,PAK,2013,120
350,Pakistan,PAK,2014,120
351,Russia,RUS,1945,0
352,Russia,RUS,1946,0
353,Russia,RUS,1947,0
354,Russia,RUS,1948,0
355,Russia,RUS,1949,1
356,Russia,RUS,1950,5
357,Russia,RUS,1951,25
358,Russia,RUS,1952,50
359,Russia,RUS,1953,120
360,Russia,RUS,1954,150
361,Russia,RUS,1955,200
362,Russia,RUS,1956,426
363,Russia,RUS,1957,660
364,Russia,RUS,1958,863
365,Russia,RUS,1959,1048
366,Russia,RUS,1960,1627
367,Russia,RUS,1961,2492
368,Russia,RUS,1962,3346
369,Russia,RUS,1963,4259
370,Russia,RUS,1964,5242
371,Russia,RUS,1965,6144
372,Russia,RUS,1966,7091
373,Russia,RUS,1967,8400
374,Russia,RUS,1968,9490
375,Russia,RUS,1969,10671
376,Russia,RUS,1970,11736
377,Russia,RUS,1971,13279
378,Russia,RUS,1972,14600
379,Russia,RUS,1973,15878
380,Russia,RUS,1974,17286
381,Russia,RUS,1975,19235
382,Russia,RUS,1976,22165
383,Russia,RUS,1977,24281
384,Russia,RUS,1978,26169
385,Russia,RUS,1979,28258
386,Russia,RUS,1980,30665
387,Russia,RUS,1981,32146
388,Russia,RUS,1982,33486
389,Russia,RUS,1983,35130
390,Russia,RUS,1984,36825
391,Russia,RUS,1985,38582
392,Russia,RUS,1986,40159
393,Russia,RUS,1987,38107
394,Russia,RUS,1988,36538
395,Russia,RUS,1989,35078
396,Russia,RUS,1990,32980
397,Russia,RUS,1991,29154
398,Russia,RUS,1992,26734
399,Russia,RUS,1993,24403
400,Russia,RUS,1994,21339
401,Russia,RUS,1995,18179
402,Russia,RUS,1996,15942
403,Russia,RUS,1997,15442
404,Russia,RUS,1998,14368
405,Russia,RUS,1999,13188
406,Russia,RUS,2000,12188
407,Russia,RUS,2001,11152
408,Russia,RUS,2002,10114
409,Russia,RUS,2003,9076
410,Russia,RUS,2004,8038
411,Russia,RUS,2005,7000
412,Russia,RUS,2006,6643
413,Russia,RUS,2007,6286
414,Russia,RUS,2008,5929
415,Russia,RUS,2009,5527
416,Russia,RUS,2010,5215
417,Russia,RUS,2011,4858
418,Russia,RUS,2012,4500
419,Russia,RUS,2013,4480
420,Russia,RUS,2014,4300
421,United Kingdom,GBR,1945,0
422,United Kingdom,GBR,1946,0
423,United Kingdom,GBR,1947,0
424,United Kingdom,GBR,1948,0
425,United Kingdom,GBR,1949,0
426,United Kingdom,GBR,1950,0
427,United Kingdom,GBR,1951,0
428,United Kingdom,GBR,1952,0
429,United Kingdom,GBR,1953,1
430,United Kingdom,GBR,1954,5
431,United Kingdom,GBR,1955,10
432,United Kingdom,GBR,1956,50
433,United Kingdom,GBR,1957,58
434,United Kingdom,GBR,1958,60
435,United Kingdom,GBR,1959,78
436,United Kingdom,GBR,1960,105
437,United Kingdom,GBR,1961,155
438,United Kingdom,GBR,1962,211
439,United Kingdom,GBR,1963,256
440,United Kingdom,GBR,1964,271
441,United Kingdom,GBR,1965,271
442,United Kingdom,GBR,1966,281
443,United Kingdom,GBR,1967,355
444,United Kingdom,GBR,1968,317
445,United Kingdom,GBR,1969,306
446,United Kingdom,GBR,1970,375
447,United Kingdom,GBR,1971,412
448,United Kingdom,GBR,1972,423
449,United Kingdom,GBR,1973,500
450,United Kingdom,GBR,1974,500
451,United Kingdom,GBR,1975,500
452,United Kingdom,GBR,1976,500
453,United Kingdom,GBR,1977,500
454,United Kingdom,GBR,1978,500
455,United Kingdom,GBR,1979,500
456,United Kingdom,GBR,1980,500
457,United Kingdom,GBR,1981,500
458,United Kingdom,GBR,1982,385
459,United Kingdom,GBR,1983,380
460,United Kingdom,GBR,1984,350
461,United Kingdom,GBR,1985,350
462,United Kingdom,GBR,1986,350
463,United Kingdom,GBR,1987,350
464,United Kingdom,GBR,1988,350
465,United Kingdom,GBR,1989,350
466,United Kingdom,GBR,1990,350
467,United Kingdom,GBR,1991,350
468,United Kingdom,GBR,1992,250
469,United Kingdom,GBR,1993,250
470,United Kingdom,GBR,1994,250
471,United Kingdom,GBR,1995,234
472,United Kingdom,GBR,1996,203
473,United Kingdom,GBR,1997,203
474,United Kingdom,GBR,1998,240
475,United Kingdom,GBR,1999,240
476,United Kingdom,GBR,2000,280
477,United Kingdom,GBR,2001,280
478,United Kingdom,GBR,2002,280
479,United Kingdom,GBR,2003,280
480,United Kingdom,GBR,2004,280
481,United Kingdom,GBR,2005,280
482,United Kingdom,GBR,2006,225
483,United Kingdom,GBR,2007,225
484,United Kingdom,GBR,2008,225
485,United Kingdom,GBR,2009,225
486,United Kingdom,GBR,2010,225
487,United Kingdom,GBR,2011,225
488,United Kingdom,GBR,2012,225
489,United Kingdom,GBR,2013,225
490,United Kingdom,GBR,2014,225
491,United States,USA,1945,2
492,United States,USA,1946,9
493,United States,USA,1947,13
494,United States,USA,1948,50
495,United States,USA,1949,170
496,United States,USA,1950,299
497,United States,USA,1951,438
498,United States,USA,1952,841
499,United States,USA,1953,1169
500,United States,USA,1954,1703
501,United States,USA,1955,2422
502,United States,USA,1956,3692
503,United States,USA,1957,5543
504,United States,USA,1958,7345
505,United States,USA,1959,12298
506,United States,USA,1960,18638
507,United States,USA,1961,22229
508,United States,USA,1962,25540
509,United States,USA,1963,28133
510,United States,USA,1964,29463
511,United States,USA,1965,31139
512,United States,USA,1966,31175
513,United States,USA,1967,31255
514,United States,USA,1968,29561
515,United States,USA,1969,27552
516,United States,USA,1970,26008
517,United States,USA,1971,25830
518,United States,USA,1972,26516
519,United States,USA,1973,27835
520,United States,USA,1974,28537
521,United States,USA,1975,27519
522,United States,USA,1976,25914
523,United States,USA,1977,25542
524,United States,USA,1978,24418
525,United States,USA,1979,24138
526,United States,USA,1980,24104
527,United States,USA,1981,23208
528,United States,USA,1982,22886
529,United States,USA,1983,23305
530,United States,USA,1984,23459
531,United States,USA,1985,23368
532,United States,USA,1986,23317
533,United States,USA,1987,23575
534,United States,USA,1988,23205
535,United States,USA,1989,22217
536,United States,USA,1990,21392
537,United States,USA,1991,19008
538,United States,USA,1992,13708
539,United States,USA,1993,11511
540,United States,USA,1994,10979
541,United States,USA,1995,10904
542,United States,USA,1996,11011
543,United States,USA,1997,10903
544,United States,USA,1998,10732
545,United States,USA,1999,10685
546,United States,USA,2000,10577
547,United States,USA,2001,10526
548,United States,USA,2002,10457
549,United States,USA,2003,10027
550,United States,USA,2004,8570
551,United States,USA,2005,8360
552,United States,USA,2006,7853
553,United States,USA,2007,5709
554,United States,USA,2008,5273
555,United States,USA,2009,5113
556,United States,USA,2010,4950
557,United States,USA,2011,4763
558,United States,USA,2012,4680
559,United States,USA,2013,4650
560,United States,USA,2014,4760
